Dirección IP     -> Dirección Binaria               
226.126.32.4     -> 11100010.01111110.00100000.00000100
196.114.8.16     -> 11000100.01110010.00001000.00010000
209.96.113.8     -> 11010001.01100000.01110001.00001000
187.115.98.32    -> 10111011.01110011.01100010.00100000
199.223.206.111  -> 11000111.11011111.11001110.01101111
111.111.111.111  -> 01101111.01101111.01101111.01101111
9.89.234.15      -> 00001001.01011001.11101010.00001111
211.111.111.1    -> 11010011.01101111.01101111.00000001
192.181.15.9     -> 11000000.10110101.00001111.00001001
182.45.6.75      -> 10110110.00101101.00000110.01001011
